    1     0.0001   0.0014  -0.15259E-04  -0.36240E-06   0.98477E-01   0.11896E+02   0.25247E+01
    2     0.0088   0.1221  -0.12259E-02  -0.23297E-06   0.98477E-01   0.11823E+02   0.24185E+01
    3     0.0176   0.2423  -0.25606E-02  -0.23246E-04   0.98454E-01   0.11752E+02   0.25566E+01
    4     0.0264   0.3621  -0.39577E-02  -0.54105E-04   0.98423E-01   0.11680E+02   0.26564E+01
    5     0.0353   0.4814  -0.54145E-02  -0.91931E-04   0.98385E-01   0.11610E+02   0.27519E+01
    6     0.0443   0.6003  -0.69128E-02  -0.13235E-03   0.98345E-01   0.11539E+02   0.28341E+01
    7     0.0534   0.7188  -0.84509E-02  -0.17489E-03   0.98303E-01   0.11469E+02   0.29089E+01
    8     0.0626   0.8368  -0.10027E-01  -0.21926E-03   0.98258E-01   0.11399E+02   0.29808E+01
    9     0.0718   0.9543  -0.11640E-01  -0.26510E-03   0.98212E-01   0.11330E+02   0.30516E+01
   10     0.0811   1.0713  -0.13288E-01  -0.31204E-03   0.98165E-01   0.11261E+02   0.31199E+01
   11     0.0905   1.1879  -0.14972E-01  -0.36025E-03   0.98117E-01   0.11192E+02   0.31878E+01
   12     0.1000   1.3039  -0.16691E-01  -0.40971E-03   0.98068E-01   0.11124E+02   0.32536E+01
   13     0.1096   1.4195  -0.18443E-01  -0.46013E-03   0.98017E-01   0.11056E+02   0.33200E+01
   14     0.1192   1.5346  -0.20239E-01  -0.51445E-03   0.97963E-01   0.10988E+02   0.33878E+01
   15     0.1290   1.6491  -0.22057E-01  -0.56681E-03   0.97911E-01   0.10920E+02   0.34524E+01
   16     0.1388   1.7632  -0.23909E-01  -0.62052E-03   0.97857E-01   0.10853E+02   0.35183E+01
   17     0.1487   1.8767  -0.25796E-01  -0.67561E-03   0.97802E-01   0.10786E+02   0.35831E+01
   18     0.1587   1.9897  -0.27717E-01  -0.73195E-03   0.97745E-01   0.10719E+02   0.36492E+01
   19     0.1687   2.1021  -0.29671E-01  -0.78980E-03   0.97688E-01   0.10653E+02   0.37152E+01
   20     0.1789   2.2140  -0.31659E-01  -0.84903E-03   0.97628E-01   0.10586E+02   0.37804E+01
   21     0.1891   2.3254  -0.33682E-01  -0.91012E-03   0.97567E-01   0.10521E+02   0.38472E+01
   22     0.1995   2.4362  -0.35739E-01  -0.97300E-03   0.97504E-01   0.10455E+02   0.39136E+01
   23     0.2099   2.5465  -0.37829E-01  -0.10375E-02   0.97440E-01   0.10390E+02   0.39804E+01
   24     0.2204   2.6562  -0.39954E-01  -0.11038E-02   0.97374E-01   0.10325E+02   0.40477E+01
   25     0.2310   2.7653  -0.42113E-01  -0.11719E-02   0.97305E-01   0.10260E+02   0.41156E+01
   26     0.2417   2.8738  -0.44307E-01  -0.12425E-02   0.97235E-01   0.10196E+02   0.41843E+01
   27     0.2525   2.9818  -0.46537E-01  -0.13152E-02   0.97162E-01   0.10131E+02   0.42526E+01
   28     0.2634   3.0892  -0.48802E-01  -0.13909E-02   0.97087E-01   0.10068E+02   0.43220E+01
   29     0.2744   3.1959  -0.51103E-01  -0.14687E-02   0.97009E-01   0.10004E+02   0.43919E+01
   30     0.2855   3.3021  -0.53440E-01  -0.15492E-02   0.96928E-01   0.99409E+01   0.44623E+01
   31     0.2967   3.4077  -0.55814E-01  -0.16324E-02   0.96845E-01   0.98780E+01   0.45328E+01
   32     0.3079   3.5127  -0.58223E-01  -0.17184E-02   0.96759E-01   0.98154E+01   0.46039E+01
   33     0.3193   3.6170  -0.60655E-01  -0.18041E-02   0.96673E-01   0.97530E+01   0.46759E+01
   34     0.3308   3.7207  -0.63137E-01  -0.18961E-02   0.96581E-01   0.96911E+01   0.47481E+01
   35     0.3423   3.8238  -0.65655E-01  -0.19915E-02   0.96486E-01   0.96294E+01   0.48198E+01
   36     0.3540   3.9263  -0.68209E-01  -0.20896E-02   0.96388E-01   0.95681E+01   0.48933E+01
   37     0.3658   4.0281  -0.70801E-01  -0.21908E-02   0.96287E-01   0.95071E+01   0.49669E+01
   38     0.3777   4.1293  -0.73429E-01  -0.22958E-02   0.96182E-01   0.94464E+01   0.50412E+01
   39     0.3896   4.2299  -0.76095E-01  -0.24044E-02   0.96073E-01   0.93860E+01   0.51161E+01
   40     0.4017   4.3298  -0.78799E-01  -0.25171E-02   0.95960E-01   0.93259E+01   0.51915E+01
   41     0.4139   4.4291  -0.81544E-01  -0.26340E-02   0.95843E-01   0.92662E+01   0.52676E+01
   42     0.4262   4.5276  -0.84330E-01  -0.27555E-02   0.95722E-01   0.92069E+01   0.53444E+01
   43     0.4386   4.6256  -0.87155E-01  -0.28816E-02   0.95596E-01   0.91478E+01   0.54209E+01
   44     0.4511   4.7229  -0.90020E-01  -0.30123E-02   0.95465E-01   0.90891E+01   0.54981E+01
   45     0.4637   4.8195  -0.92924E-01  -0.31474E-02   0.95330E-01   0.90307E+01   0.55763E+01
   46     0.4764   4.9154  -0.95867E-01  -0.32865E-02   0.95191E-01   0.89727E+01   0.56548E+01
   47     0.4893   5.0106  -0.98849E-01  -0.34300E-02   0.95047E-01   0.89150E+01   0.57339E+01
   48     0.5022   5.1052  -0.10187E+00  -0.35781E-02   0.94899E-01   0.88576E+01   0.58134E+01
   49     0.5153   5.1991  -0.10493E+00  -0.37309E-02   0.94747E-01   0.88006E+01   0.58929E+01
   50     0.5285   5.2923  -0.10803E+00  -0.38889E-02   0.94589E-01   0.87439E+01   0.59739E+01
