   51     0.5417   5.3849  -0.10480E+00  -0.30414E-02   0.10077E+00   0.90997E+01   0.29074E+01
   52     0.5552   5.4767  -0.10781E+00  -0.31757E-02   0.10064E+00   0.90399E+01   0.29478E+01
   53     0.5687   5.5679  -0.11085E+00  -0.33151E-02   0.10050E+00   0.89805E+01   0.29888E+01
   54     0.5823   5.6583  -0.11394E+00  -0.34590E-02   0.10036E+00   0.89216E+01   0.30295E+01
   55     0.5961   5.7481  -0.11706E+00  -0.36079E-02   0.10021E+00   0.88629E+01   0.30708E+01
   56     0.6099   5.8371  -0.12023E+00  -0.37622E-02   0.10005E+00   0.88047E+01   0.31125E+01
   57     0.6239   5.9255  -0.12343E+00  -0.39215E-02   0.99893E-01   0.87468E+01   0.31542E+01
   58     0.6381   6.0132  -0.12668E+00  -0.40863E-02   0.99729E-01   0.86893E+01   0.31962E+01
   59     0.6523   6.1001  -0.12997E+00  -0.42567E-02   0.99558E-01   0.86321E+01   0.32385E+01
   60     0.6667   6.1864  -0.13330E+00  -0.44328E-02   0.99382E-01   0.85754E+01   0.32808E+01
   61     0.6812   6.2719  -0.13667E+00  -0.46146E-02   0.99200E-01   0.85190E+01   0.33235E+01
   62     0.6958   6.3568  -0.14008E+00  -0.48017E-02   0.99013E-01   0.84630E+01   0.33662E+01
   63     0.7105   6.4409  -0.14353E+00  -0.49942E-02   0.98821E-01   0.84073E+01   0.34097E+01
   64     0.7254   6.5244  -0.14702E+00  -0.51927E-02   0.98622E-01   0.83521E+01   0.34528E+01
   65     0.7404   6.6071  -0.15056E+00  -0.53974E-02   0.98418E-01   0.82972E+01   0.34964E+01
   66     0.7555   6.6891  -0.15413E+00  -0.56080E-02   0.98207E-01   0.82426E+01   0.35401E+01
   67     0.7708   6.7704  -0.15775E+00  -0.58248E-02   0.97990E-01   0.81886E+01   0.35840E+01
   68     0.7862   6.8511  -0.16142E+00  -0.60481E-02   0.97767E-01   0.81348E+01   0.36281E+01
   69     0.8017   6.9310  -0.16513E+00  -0.62782E-02   0.97537E-01   0.80815E+01   0.36723E+01
   70     0.8174   7.0102  -0.16888E+00  -0.65148E-02   0.97300E-01   0.80285E+01   0.37167E+01
   71     0.8332   7.0886  -0.17267E+00  -0.67582E-02   0.97057E-01   0.79760E+01   0.37614E+01
   72     0.8491   7.1664  -0.17651E+00  -0.70082E-02   0.96807E-01   0.79238E+01   0.38060E+01
   73     0.8652   7.2435  -0.18039E+00  -0.72655E-02   0.96550E-01   0.78720E+01   0.38509E+01
   74     0.8814   7.3199  -0.18432E+00  -0.75298E-02   0.96285E-01   0.78206E+01   0.38959E+01
   75     0.8977   7.3956  -0.18829E+00  -0.78012E-02   0.96014E-01   0.77695E+01   0.39409E+01
   76     0.9142   7.4705  -0.19231E+00  -0.80801E-02   0.95735E-01   0.77189E+01   0.39861E+01
   77     0.9309   7.5448  -0.19637E+00  -0.83660E-02   0.95449E-01   0.76686E+01   0.40309E+01
